ibi_mean,ibi_std,ibi_min,ibi_max,ibi_range,ibi_median,subject,label
0.5903950825825826,0.1281733278025919,0.296875,1.359375,1.0625,0.59375,S10,baseline
0.5489938446969697,0.13986585292988932,0.296875,1.171875,0.875,0.546875,S10,stress
0.7485525063451777,0.19084860569339818,0.296875,1.453125,1.15625,0.78125,S11,baseline
0.5519648659626321,0.19433045335432098,0.296875,1.515625,1.21875,0.515625,S11,stress
0.6490133388338833,0.18456562560098683,0.296875,1.859375,1.5625,0.671875,S13,baseline
0.5875359831709478,0.21135646931784577,0.296875,1.765625,1.46875,0.546875,S13,stress
0.7894808400267738,0.1621543958949187,0.296875,1.28125,0.984375,0.796875,S14,baseline
0.5041604338070307,0.11644417917139875,0.296875,1.1875,0.890625,0.484375,S14,stress
0.6520943225985564,0.18817534782129244,0.296875,1.609375,1.3125,0.6875,S15,baseline
0.6198246606334842,0.19891975575046839,0.296875,1.25,0.953125,0.640625,S15,stress
0.7610282258064516,0.26029273360394356,0.296875,1.4375,1.140625,0.78125,S16,baseline
0.49453125,0.12939302033315978,0.296875,1.28125,0.984375,0.46875,S16,stress
0.8228658536585366,0.23252735328861238,0.296875,1.546875,1.25,0.859375,S17,baseline
0.5178091397849462,0.15315696552981017,0.296875,1.296875,1.0,0.484375,S17,stress
0.6693684133489461,0.2208809502559645,0.296875,1.390625,1.09375,0.734375,S2,baseline
0.57844868173258,0.20532540356300105,0.296875,1.40625,1.109375,0.546875,S2,stress
0.7621551003344481,0.33352365001333467,0.296875,1.625,1.328125,0.765625,S3,baseline
0.6053059895833334,0.19888388735663345,0.296875,1.59375,1.296875,0.578125,S3,stress
0.8781060318664643,0.2727878888154086,0.296875,1.578125,1.28125,0.921875,S4,baseline
0.574615036231884,0.21668415140479655,0.296875,1.75,1.453125,0.53125,S4,stress
0.695357868757259,0.27098958855174254,0.296875,1.703125,1.40625,0.671875,S5,baseline
0.48649924471299094,0.15885034622453018,0.296875,1.453125,1.15625,0.453125,S5,stress
0.7334713152985075,0.24453380847656922,0.296875,1.53125,1.234375,0.75,S6,baseline
0.6606052899287894,0.23516452388918016,0.296875,1.75,1.453125,0.640625,S6,stress
0.7239487942612942,0.2276886556126255,0.296875,1.359375,1.0625,0.765625,S7,baseline
0.5344742063492064,0.18144553434685592,0.296875,1.453125,1.15625,0.515625,S7,stress
0.7731427862342819,0.19747273351205058,0.296875,1.6875,1.390625,0.8125,S8,baseline
0.6100580601092896,0.2227148000460089,0.296875,1.703125,1.40625,0.578125,S8,stress
0.6687553176403858,0.2067377464261788,0.296875,1.3125,1.015625,0.71875,S9,baseline
0.6034936797752809,0.20275479297776755,0.296875,1.34375,1.046875,0.609375,S9,stress
