eda_mean,eda_std,eda_min,eda_max,eda_range,eda_skewness,eda_kurtosis,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,subject,label,window
0.3909760805555556,0.0334607398336993,0.364565,0.607608,0.24304300000000006,3.5551294507998477,15.353909979101495,6.0,0.08973069349751246,0.0222254594186149,S10,baseline,1
0.3782092472222222,0.003539393401809134,0.369681,0.401661,0.03198000000000001,2.1598062409017436,11.185723651581718,62.0,0.003802545149044527,0.0015462969462019416,S10,baseline,2
0.3892244222222222,0.0063609888766130605,0.374798,0.417011,0.042213,0.5742162601732818,1.1295211365605624,37.0,0.006568339211512313,0.004500326271054315,S10,baseline,3
0.37776864444444447,0.006543622126520703,0.364565,0.447711,0.08314600000000005,3.765601152931912,36.41738010110019,9.0,0.021096121044950657,0.003951724382946882,S10,baseline,4
0.3903400361111111,0.01140709816597282,0.370961,0.409336,0.03837499999999999,-0.06067424554119859,-1.569375415906921,46.0,0.005247588548697235,0.01054662125295254,S10,baseline,5
0.3984450027777778,0.003807716932244758,0.38759,0.409336,0.021745999999999988,0.16368342250495518,-0.133758593260088,53.0,0.0049261691410320396,0.0027231615220080496,S10,baseline,6
0.41056169444444446,0.00915167802773363,0.377356,0.43364,0.056284,-0.7962652861170776,1.1509880897149571,34.0,0.007619340207694023,0.007441075882915554,S10,baseline,7
0.4228205333333333,0.008664650164701783,0.40294,0.491203,0.08826299999999998,2.568334075702067,15.80500932540955,16.0,0.012541607096444569,0.005858995066700425,S10,baseline,8
0.423762075,0.006604294835975003,0.405498,0.486086,0.08058799999999999,3.599698614386697,30.296582571922958,13.0,0.01782352127674294,0.0023803386150661626,S10,baseline,9
0.40613444444444446,0.02126938011744223,0.379915,0.445153,0.06523800000000002,0.19364124848177386,-1.8585975390170542,35.0,0.006026309031451123,0.020654093635050205,S10,baseline,10
0.4126616638888889,0.014133524597008756,0.385032,0.498878,0.113846,2.5937791282182356,11.024136580729621,9.0,0.028443650347838037,0.010347891838542034,S10,baseline,11
0.40279078611111113,0.015281119603809082,0.377356,0.429803,0.052446999999999966,0.30351153175452833,-1.6200020351933346,56.0,0.004415502718576701,0.014887790041364715,S10,baseline,12
