ibi_mean,ibi_std,ibi_min,ibi_max,ibi_range,ibi_median,subject,label,window
1.8707386363636365,2.568038040273415,0.4375,9.578125,9.140625,0.828125,S10,baseline,1
2.21875,4.2362052087112705,0.296875,16.1875,15.890625,0.9140625,S10,baseline,2
1.3697916666666667,0.9327425585634848,0.359375,2.609375,2.25,1.140625,S10,baseline,3
1.059375,0.28902449074429665,0.59375,1.390625,0.796875,1.0625,S10,baseline,4
2.5625,3.143053321165185,0.296875,7.984375,7.6875,0.984375,S10,baseline,5
3.8958333333333335,3.983717946912853,0.59375,9.5,8.90625,1.59375,S10,baseline,7
4.669270833333333,8.267807567991456,0.3125,23.140625,22.828125,1.171875,S10,baseline,9
1.7578125,1.1796875,0.578125,2.9375,2.359375,1.7578125,S10,baseline,10
2.1653645833333335,3.0093810732278334,0.3125,10.015625,9.703125,1.0,S10,baseline,11
1.1848958333333333,1.5345260625173947,0.296875,6.09375,5.796875,0.6640625,S10,baseline,12
1.328125,0.984375,0.34375,2.3125,1.96875,1.328125,S10,baseline,13
2.1744791666666665,2.7712457106197697,0.515625,8.328125,7.8125,1.1484375,S10,baseline,14
0.7777777777777778,0.3463269708760391,0.3125,1.28125,0.96875,0.671875,S10,baseline,15
1.1026785714285714,0.44003230328428555,0.46875,1.734375,1.265625,1.140625,S10,baseline,17
1.1510416666666667,0.17414847393021343,0.90625,1.296875,0.390625,1.25,S10,baseline,18
0.703125,0.1818819801066065,0.40625,0.984375,0.578125,0.7578125,S10,baseline,19
1.7630208333333333,1.2487759849162188,0.53125,4.34375,3.8125,1.5078125,S10,baseline,20
2.7375,2.8211741239242927,0.296875,8.25,7.953125,1.890625,S10,baseline,21
1.84375,1.21875,0.625,3.0625,2.4375,1.84375,S10,baseline,22
2.232421875,4.4673664645585225,0.3125,14.046875,13.734375,0.6171875,S10,baseline,23
13.90625,13.09375,0.8125,27.0,26.1875,13.90625,S10,baseline,24
3.66796875,6.098879801969145,0.328125,19.734375,19.40625,1.4140625,S10,baseline,25
2.4348958333333335,3.2598622981179695,0.390625,10.203125,9.8125,1.0859375,S10,baseline,26
1.24375,0.9129119361280146,0.296875,3.390625,3.09375,1.046875,S10,baseline,27
2.62890625,2.670832558888181,0.59375,7.125,6.53125,1.3984375,S10,baseline,28
1.7589285714285714,1.522314882683874,0.453125,5.390625,4.9375,1.359375,S10,baseline,29
0.5954861111111112,0.24896099680893544,0.296875,1.125,0.828125,0.625,S10,baseline,32
1.064453125,0.4906621639487391,0.3125,1.953125,1.640625,0.9921875,S10,baseline,35
2.296875,1.109375,1.1875,3.40625,2.21875,2.296875,S10,baseline,36
1.7388392857142858,2.0465378383319694,0.484375,6.71875,6.234375,1.03125,S10,baseline,37
3.834375,5.977175009463083,0.3125,15.765625,15.453125,0.953125,S10,baseline,38
0.9427083333333334,0.4997286590129576,0.40625,1.609375,1.203125,0.8125,S10,baseline,39
2.240625,1.1417631308091007,1.296875,4.421875,3.125,1.484375,S10,stress,1
5.6125,3.9433166362530416,1.390625,12.28125,10.890625,3.65625,S10,stress,2
2.58125,4.829094765067258,0.5,17.015625,16.515625,0.9765625,S10,stress,3
4.31875,5.220860351752381,0.359375,14.078125,13.71875,0.984375,S10,stress,4
4.046875,6.217454324822177,0.328125,16.453125,16.125,1.3125,S10,stress,5
3.3151041666666665,2.4054621387850763,0.71875,7.890625,7.171875,2.7265625,S10,stress,6
4.231770833333333,5.960832831831903,0.65625,17.484375,16.828125,1.625,S10,stress,8
4.0875,2.985783371872447,0.296875,8.03125,7.734375,3.671875,S10,stress,9
2.7395833333333335,1.2886178736559397,1.171875,4.328125,3.15625,2.71875,S10,stress,10
2.934375,2.8189578637326242,0.6875,8.40625,7.71875,1.921875,S10,stress,12
0.802734375,0.29356060009431506,0.3125,1.234375,0.921875,0.859375,S10,stress,14
0.9,0.39953586353417636,0.625,1.6875,1.0625,0.734375,S10,stress,15
0.6625,0.22590961964909773,0.390625,1.03125,0.640625,0.5625,S10,stress,18
2.74375,3.6962898416858487,0.640625,10.125,9.484375,1.03125,S10,stress,19
6.9765625,0.3671875,6.609375,7.34375,0.734375,6.9765625,S10,stress,20
12.4765625,5.2890625,7.1875,17.765625,10.578125,12.4765625,S10,stress,21
5.12109375,6.295269404093616,0.5625,15.96875,15.40625,1.9765625,S10,stress,22
10.078125,8.203125,1.875,18.28125,16.40625,10.078125,S10,stress,23
3.203125,3.1539544044606393,0.59375,7.640625,7.046875,1.375,S10,stress,24
5.53125,4.421875,1.109375,9.953125,8.84375,5.53125,S11,baseline,1
0.90625,0.421875,0.484375,1.328125,0.84375,0.90625,S11,baseline,9
1.1171875,0.0234375,1.09375,1.140625,0.046875,1.1171875,S11,baseline,13
4.1625,3.0953057956767376,0.984375,9.875,8.890625,3.4375,S11,baseline,14
1.4427083333333333,0.7681541276911091,0.390625,2.203125,1.8125,1.734375,S11,baseline,17
7.0234375,3.0859375,3.9375,10.109375,6.171875,7.0234375,S11,baseline,21
4.239583333333333,4.897473129640994,0.46875,11.15625,10.6875,1.09375,S11,baseline,22
2.58203125,0.7091215647226415,1.5625,3.375,1.8125,2.6953125,S11,baseline,24
4.484375,3.5993841704172116,1.640625,9.5625,7.921875,2.25,S11,baseline,25
2.6354166666666665,1.1346757903936946,1.109375,3.828125,2.71875,2.96875,S11,baseline,27
6.057291666666667,7.028788149263158,0.296875,15.953125,15.65625,1.921875,S11,baseline,28
1.0520833333333333,0.3503935039907117,0.453125,1.40625,0.953125,1.15625,S11,baseline,33
1.3828125,0.6104257767380487,0.53125,2.078125,1.546875,1.4609375,S11,baseline,38
4.0625,2.3531409085340953,1.640625,7.25,5.609375,3.296875,S11,stress,1
11.4375,6.796875,4.640625,18.234375,13.59375,11.4375,S11,stress,2
8.46875,5.407348756360798,1.5625,14.765625,13.203125,9.078125,S11,stress,3
13.7421875,8.9765625,4.765625,22.71875,17.953125,13.7421875,S11,stress,7
4.135416666666667,1.2926218746268718,1.671875,5.59375,3.921875,4.40625,S11,stress,8
7.817708333333333,6.463493402317787,1.140625,16.5625,15.421875,5.75,S11,stress,9
4.196875,3.008704818937877,1.125,9.609375,8.484375,2.53125,S11,stress,10
2.37109375,0.9956187592985517,0.484375,3.75,3.265625,2.5390625,S11,stress,11
0.8854166666666666,0.7230397349615949,0.390625,2.75,2.359375,0.5,S11,stress,13
1.7109375,0.83812505825876,0.59375,2.6875,2.09375,1.78125,S11,stress,14
3.747767857142857,6.2965921183990226,0.328125,18.984375,18.65625,0.953125,S11,stress,15
1.71484375,1.2976924663820344,0.421875,3.859375,3.4375,1.2890625,S11,stress,17
4.390625,2.8125,1.578125,7.203125,5.625,4.390625,S13,baseline,1
3.5,2.0625,1.4375,5.5625,4.125,3.5,S13,baseline,2
3.46875,2.901698144283053,0.703125,7.890625,7.1875,2.265625,S13,baseline,3
1.2890625,0.1328125,1.15625,1.421875,0.265625,1.2890625,S13,baseline,4
1.7875,0.6718822674025562,1.234375,3.09375,1.859375,1.5,S13,baseline,5
5.0,3.4375,1.5625,8.4375,6.875,5.0,S13,baseline,9
2.171875,1.5684651758367159,0.453125,5.890625,5.4375,2.1171875,S13,baseline,10
4.25,3.880666220186941,0.359375,11.796875,11.4375,3.140625,S13,baseline,11
1.465625,1.0669667139840868,0.40625,3.21875,2.8125,0.859375,S13,baseline,12
7.0546875,4.6640625,2.390625,11.71875,9.328125,7.0546875,S13,baseline,13
4.39453125,3.4141317748978564,0.46875,9.734375,9.265625,3.6875,S13,baseline,14
1.671875,0.5338173259646037,0.71875,2.15625,1.4375,1.875,S13,baseline,15
3.9263392857142856,6.426224925172093,0.515625,19.546875,19.03125,0.984375,S13,baseline,19
7.989583333333333,5.876666614967386,3.625,16.296875,12.671875,4.046875,S13,baseline,21
12.3203125,3.4765625,8.84375,15.796875,6.953125,12.3203125,S13,baseline,22
0.9270833333333334,0.22904826486766688,0.609375,1.140625,0.53125,1.03125,S13,baseline,23
5.82421875,8.178358259653473,0.796875,19.984375,19.1875,1.2578125,S13,baseline,25
4.9921875,4.3828125,0.609375,9.375,8.765625,4.9921875,S13,baseline,26
2.9739583333333335,2.9596030505819337,0.578125,7.53125,6.953125,1.15625,S13,baseline,29
2.12109375,0.6914283188568339,1.0,2.84375,1.84375,2.3203125,S13,baseline,30
4.046875,6.040844053193229,0.671875,16.109375,15.4375,0.890625,S13,baseline,31
5.3125,4.650098180247111,0.3125,12.859375,12.546875,4.0390625,S13,baseline,34
1.4114583333333333,0.8173267421736684,0.4375,2.4375,2.0,1.359375,S13,baseline,35
